"siteID","b","confMin","confMax","collectDate","latitude"
"CARI",-1.04480846463044,-1.05180846463044,-1.03780846463044,2017-08-22 19:20:00,65.15306
"CARI",-1.3785209359036,-1.3995209359036,-1.3575209359036,2018-05-23 20:00:00,65.15306
"CARI",-1.20112327340414,-1.20712327340414,-1.19512327340414,2018-07-16 19:20:00,65.15306
"CARI",-1.10684107421097,-1.11984107421097,-1.09384107421097,2018-08-20 19:12:00,65.15306
"CARI",-1.24157872991456,-1.25357872991456,-1.22957872991456,2019-05-13 19:27:00,65.15306
"CARI",-1.12170664157234,-1.12970664157234,-1.11370664157234,2019-07-03 19:50:00,65.15306
"CARI",-1.15200345286212,-1.16700345286212,-1.13700345286212,2019-08-28 18:03:00,65.15306
"COMO",-1.28562907358225,-1.29062907358225,-1.28062907358225,2017-08-03 15:29:00,40.03496
"COMO",-1.30576323759747,-1.30876323759747,-1.30276323759747,2017-08-30 15:26:00,40.03496
"COMO",-1.2601059827532,-1.2661059827532,-1.2541059827532,2018-06-05 16:06:00,40.03496
"COMO",-1.42034228825244,-1.42434228825244,-1.41634228825244,2018-08-07 15:52:00,40.03496
"COMO",-1.43506406845173,-1.43806406845173,-1.43206406845173,2018-08-29 14:39:00,40.03496
"COMO",-1.32315946258191,-1.32915946258191,-1.31715946258191,2019-08-07 20:09:00,40.03496
"COMO",-1.33681543241643,-1.34081543241643,-1.33281543241643,2019-08-26 15:08:00,40.03496
"CUPE",-1.48388381340265,-1.49488381340265,-1.47288381340265,2017-01-25 11:42:00,18.11352
"CUPE",-1.23656298537525,-1.24556298537525,-1.22756298537525,2017-06-28 11:34:00,18.11352
"CUPE",-1.41100595321061,-1.42200595321061,-1.40000595321061,2017-11-14 11:40:00,18.11352
"CUPE",-1.51513717926164,-1.52413717926164,-1.50613717926164,2018-01-23 11:21:00,18.11352
"CUPE",-1.26062451465171,-1.26862451465171,-1.25262451465171,2018-06-19 11:32:00,18.11352
"CUPE",-1.35016112200879,-1.37316112200879,-1.32716112200879,2018-11-07 11:26:00,18.11352
"CUPE",-1.27233581384955,-1.27833581384955,-1.26633581384955,2019-01-22 11:31:00,18.11352
"CUPE",-1.31045270592844,-1.31545270592844,-1.30545270592844,2019-06-18 11:23:00,18.11352
"CUPE",-1.38806275549376,-1.40006275549376,-1.37606275549376,2019-11-25 11:42:00,18.11352
"GUIL",-1.28960246069776,-1.29060246069776,-1.28860246069776,2017-01-31 12:20:00,18.1741
"GUIL",-1.34616027789053,-1.35016027789053,-1.34216027789053,2017-06-21 12:08:00,18.1741
"GUIL",-1.6121468090382,-1.6191468090382,-1.6051468090382,2017-11-10 13:42:00,18.1741
"GUIL",-1.49743077791591,-1.50143077791591,-1.49343077791591,2018-01-30 12:31:00,18.1741
"GUIL",-1.46793945454451,-1.46893945454451,-1.46693945454451,2018-07-03 11:45:00,18.1741
"GUIL",-1.24074010757593,-1.24574010757593,-1.23574010757593,2018-11-13 11:45:00,18.1741
"GUIL",-1.3259307969524,-1.3269307969524,-1.3249307969524,2019-01-28 12:38:00,18.1741
"GUIL",-1.40490375275447,-1.40590375275447,-1.40390375275447,2019-06-24 12:42:00,18.1741
"GUIL",-1.35089925141777,-1.35389925141777,-1.34789925141777,2019-11-11 13:00:00,18.1741
"HOPB",-1.37324620445486,-1.37724620445486,-1.36924620445486,2017-04-12 16:00:00,42.47179
"HOPB",-1.36755070722074,-1.37055070722074,-1.36455070722074,2017-07-11 13:39:00,42.47179
"HOPB",-1.49055933241901,-1.49355933241901,-1.48755933241901,2017-10-03 13:07:00,42.47179
"HOPB",-1.34489856535333,-1.35189856535333,-1.33789856535333,2018-04-11 14:55:00,42.47179
"HOPB",-1.30168858174753,-1.30768858174753,-1.29568858174753,2018-07-09 12:39:00,42.47179
"HOPB",-1.23517766886574,-1.24817766886574,-1.22217766886574,2018-10-03 13:00:00,42.47179
"HOPB",-1.52463513407169,-1.53063513407169,-1.51863513407169,2019-04-11 14:54:00,42.47179
"HOPB",-1.43298317040899,-1.43698317040899,-1.42898317040899,2019-07-09 13:45:00,42.47179
"HOPB",-1.50671452440412,-1.50971452440412,-1.50371452440412,2019-10-03 13:28:00,42.47179
"KING",-1.41595726904084,-1.42495726904084,-1.40695726904084,2017-03-27 16:46:00,39.10506
"KING",-1.45445783744509,-1.45845783744509,-1.45045783744509,2017-07-14 14:05:00,39.10506
"KING",-1.19250812550796,-1.19950812550796,-1.18550812550796,2017-10-05 13:53:00,39.10506
"KING",-0.691019711697421,-0.715019711697421,-0.667019711697421,2018-03-26 14:37:00,39.10506
"KING",-1.09119942687822,-1.09719942687822,-1.08519942687822,2018-10-15 14:25:00,39.10506
"KING",-1.25490133467236,-1.25990133467236,-1.24990133467236,2019-03-29 13:30:00,39.10506
"KING",-1.3443130637155,-1.3483130637155,-1.3403130637155,2019-07-12 01:50:00,39.10506
"KING",-1.37346386422688,-1.37746386422688,-1.36946386422688,2019-10-01 13:00:00,39.10506
"LECO",-1.33890014923198,-1.34290014923198,-1.33490014923198,2017-03-22 14:00:00,35.69043
"LECO",-1.46788446481281,-1.47088446481281,-1.46488446481281,2017-07-25 16:47:00,35.69043
"LECO",-1.4126518946952,-1.4176518946952,-1.4076518946952,2017-10-27 16:44:00,35.69043
"LECO",-1.31262504177591,-1.31562504177591,-1.30962504177591,2018-04-04 16:14:00,35.69043
"LECO",-1.39524847423334,-1.39924847423334,-1.39124847423334,2018-07-23 16:15:00,35.69043
"LECO",-1.29460334384058,-1.30960334384058,-1.28060334384058,2018-10-16 15:34:00,35.69043
"LECO",-1.40585743826386,-1.40885743826386,-1.40285743826386,2019-03-26 16:05:00,35.69043
"LECO",-1.531416597504,-1.534416597504,-1.528416597504,2019-07-16 15:15:00,35.69043
"LECO",-1.41712628770699,-1.42112628770699,-1.41312628770699,2019-10-14 15:51:00,35.69043
"LEWI",-1.33121256856963,-1.33221256856963,-1.33021256856963,2017-03-24 13:16:00,39.09564
"LEWI",-1.28085097980063,-1.28185097980063,-1.27985097980063,2017-07-10 13:50:00,39.09564
"LEWI",-1.32603797725029,-1.32803797725029,-1.32403797725029,2017-11-06 14:45:00,39.09564
"LEWI",-1.31957663113763,-1.32057663113763,-1.31857663113763,2018-03-23 13:57:00,39.09564
"LEWI",-1.331620288214,-1.335620288214,-1.327620288214,2018-07-09 13:26:00,39.09564
"LEWI",-1.30781908713012,-1.31181908713012,-1.30381908713012,2018-10-22 13:50:00,39.09564
"LEWI",-1.37600790510579,-1.37700790510579,-1.37500790510579,2019-03-19 14:08:00,39.09564
"LEWI",-1.23390367026076,-1.23690367026076,-1.23090367026076,2019-07-22 14:49:00,39.09564
"LEWI",-1.33384638840799,-1.33684638840799,-1.33084638840799,2019-10-21 14:41:00,39.09564
"MART",-1.23440657328426,-1.24040657328426,-1.22840657328426,2018-04-20 17:08:00,45.79125
